no,playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
145,2,0.629,0.464,1,0.778380473,1,0.0334,0.75,0,0.0853,0.523,0.748173328,1
146,2,0.593,0.81,1,0.855534031,1,0.0625,0.602,0,0.119,0.712,0.690448566,1
147,2,0.554,0.722,1,0.84850833,1,0.034,0.119,0,0.0861,0.558,0.642729748,1
148,2,0.739,0.85,1,0.901175255,1,0.0308,0.0272,0,0.181,0.883,0.541768948,1
149,2,0.544,0.854,1,0.875293814,0,0.0289,0.00245,1.20E-06,0.249,0.436,0.440923213,1
150,2,0.597,0.721,1,0.837737311,1,0.0356,0.0362,0,0.0832,0.437,0.63312174,1
151,3,0.506,0.805,1,0.897223298,1,0.0469,0.00711,0.00193,0.0856,0.383,0.604134704,1
152,3,0.519,0.754,1,0.856670541,1,0.0402,0.258,3.75E-06,0.139,0.16,0.603976488,1
153,3,0.631,0.953,1,0.907038616,1,0.0343,0.0241,0.0155,0.108,0.422,0.680759052,1
154,3,0.509,0.781,1,0.913728529,1,0.072,0.0398,0,0.0749,0.176,0.61368518,1
155,3,0.628,0.833,1,0.89704249,0,0.0282,0.0079,1.48E-05,0.074,0.56,0.613699563,1
156,3,0.544,0.915,1,0.915665763,1,0.0841,0.129,0.000914,0.115,0.51,0.604547024,1
157,3,0.654,0.83,1,0.879607387,1,0.0366,0.000629,1.13E-06,0.121,0.548,0.599249195,1
158,3,0.485,0.724,1,0.883946791,0,0.0521,0.0736,0,0.0631,0.433,0.613900928,1
159,3,0.523,0.861,0,0.914580912,1,0.0644,0.0336,0,0.144,0.346,0.60912569,1
160,3,0.579,0.736,1,0.903835723,0,0.0527,0.31,0,0.198,0.613,0.613680385,1
161,3,0.674,0.915,1,0.900322872,0,0.0411,0.0282,0.00337,0.273,0.78,0.604278536,1
162,3,0.571,0.903,1,0.947203926,1,0.214,0.0615,1.23E-06,0.186,0.477,0.613450253,1
163,3,0.575,0.831,0,0.849360713,1,0.0356,0.00406,0.000449,0.111,0.377,0.61364203,1
164,3,0.572,0.81,1,0.854035903,0,0.0558,0.0157,6.53E-06,0.13,0.11,0.604345658,1
165,3,0.609,0.801,0,0.889526024,0,0.034,0.0137,0.00349,0.127,0.407,0.623226066,1
166,3,0.596,0.856,1,0.911765466,0,0.0346,0.0211,0.0178,0.141,0.743,0.613440664,1
167,3,0.478,0.818,1,0.872504197,1,0.0377,0.00292,0.00789,0.438,0.163,0.613459842,1
168,3,0.467,0.757,1,0.925868526,1,0.0517,0.0866,0,0.0742,0.383,0.63282928,1
169,3,0.527,0.835,1,0.866769986,1,0.0433,0.0166,0,0.249,0.654,0.604014844,1
170,3,0.486,0.652,1,0.816970167,0,0.052,0.408,6.63E-05,0.077,0.391,0.54203264,1
171,3,0.468,0.627,1,0.872271729,1,0.0476,0.0281,7.97E-06,0.11,0.159,0.861278383,1
172,3,0.534,0.711,1,0.850523053,0,0.0368,0.05,0.0031,0.135,0.3,0.61417421,1
173,3,0.652,0.657,1,0.88761462,0,0.0306,0.00209,7.04E-05,0.0859,0.0873,0.613675591,1
174,3,0.649,0.792,1,0.913082784,1,0.043,0.00364,2.87E-05,0.104,0.235,0.613838601,1
175,3,0.646,0.823,1,0.897119979,0,0.0394,0.213,0,0.322,0.418,0.613852984,1
